company_name,job_title,location,job_posting_url,skills_required,job_id,confidence_score
SysMind,Salesforce Vlocity Developer,"Jersey City, NJ",https://www.linkedin.com/jobs/view/3169712432/?trk=jobs_biz_prem_srch,"Salesforce Vlocity experience, Copado, SF administration, Jenkins, Bitbucket, Jira, GitHub, Visual Studio, Postman, SOAP UI",3169712432,0.8606
Siri InfoSolutions Inc,Webmethods Developer,"Cleveland, OH",https://www.linkedin.com/jobs/view/3863028624/?trk=jobs_biz_prem_srch,"WebMethods development, SoftwareAG Integration Server, Designer, Universal Messaging, MWS, TN, RDBMS, Oracle, SQL Server, SoapUI",3863028624,0.8427
NInfo Systems INC,Java full Stack Engineer,"Phoenix, AZ",https://www.linkedin.com/jobs/view/3857386463/?trk=jobs_biz_prem_srch,"Java, Spring Boot, Microservices, Core Java, J2EE, Backend Coding, Reactive Programming, Kafka, Message Queues, Strong Communication",3857386463,0.8361
Ideando Inc,Full Stack Engineer,United States,https://www.linkedin.com/jobs/view/2234533717/?trk=jobs_biz_prem_srch,"excellent problem-solving skills, attention to detail, ability to work independently or as part of a team, strong communication and collaboration skills",2234533717,0.8346
HireBus,Principal Backend Engineer,United States,https://www.linkedin.com/jobs/view/3728459637/?trk=jobs_biz_prem_srch,"I've included a mix of soft skills (e.g. visionary, technical leadership, problem-solving) and hard skills (e.g. programming languages, technologies) as per your request.",3728459637,0.8326
VDart,Tableau Developer,"Parsippany, NJ",https://www.linkedin.com/jobs/view/3884434020/?trk=jobs_biz_prem_srch,"Tableau, Tableau Dashboards, Finance, Data Analysis, Data Visualization, SQL, Data Modeling, Communication, Problem-Solving, Analytical Skills",3884434020,0.8161
Compunnel Inc.,M365 Power-Platform or SharePoint Online Developer,"Boston, MA",https://www.linkedin.com/jobs/view/3881984061/?trk=jobs_biz_prem_srch,"Agile methodology, software development life cycle, Power Platform, SharePoint Online, Power Apps, Power Automate, Power BI, JavaScript, HTML, JSON",3881984061,0.8020
TekisHub Consulting Services ,backend Java developer,"Austin, TX",https://www.linkedin.com/jobs/view/3795134838/?trk=jobs_biz_prem_srch,"Java, J2EE, Java Collection, Concurrency APIs, Functional Programming, Data-Structures, Algorithms, REST APIs, Spring Framework, Problem Solving",3795134838,0.7894
Redifcard Technologies LLC,Cloud / .NET Developer,"Bloomington, MN",https://www.linkedin.com/jobs/view/3844032378/?trk=jobs_biz_prem_srch,"Azure, .NET/C#, Snowflake, Kafka, Biztalk, HL7, Healthcare, Cloud, Backend, Recent Experience",3844032378,0.7271
NLB Services,Machine Learning Engineer,"Dallas, TX",https://www.linkedin.com/jobs/view/3871631334/?trk=jobs_biz_prem_srch,"Python, Streamlit, FastAPI, TensorFlow, PyTorch, NLTK, Spacy, BERT, SBERT, MILVUS",3871631334,0.5948
